author,expression,title,edition,placeOfPublication,yearOfPublication,langCode
http://data.bnf.fr/ark:/12148/cb11907966z#about,http://data.bnf.fr/ark:/12148/cb35522295w#Expression,Notre-Dame de Paris,"Paris : J. Hetzel , 1866",Paris,1866,http://id.loc.gov/vocabulary/iso639-2/fre
http://data.bnf.fr/ark:/12148/cb11907966z#about,http://data.bnf.fr/ark:/12148/cb34345163n#Expression,Les Misérables,"Paris : Pagnerre ; Bruxelles : A. Lacroix, Verboeckhoven , 1863",Paris. - Bruxelles,1863,http://id.loc.gov/vocabulary/iso639-2/fre
http://data.bnf.fr/ark:/12148/cb11907966z#about,http://data.bnf.fr/ark:/12148/cb35094180n#Expression,Notre-Dame de Paris,"Paris : Hachette jeunesse , 1990",Paris,1990,http://id.loc.gov/vocabulary/iso639-2/fre
http://data.bnf.fr/ark:/12148/cb11907966z#about,http://data.bnf.fr/ark:/12148/cb34644408m#Expression,Quatrevingt-treize,"[Paris] : Gallimard , 1979",[Paris],1979,http://id.loc.gov/vocabulary/iso639-2/fre
http://data.bnf.fr/ark:/12148/cb11907966z#about,http://data.bnf.fr/ark:/12148/cb357793341#Expression,Les Orientales,"Paris : [Librairie Hachette] , [1881]",Paris,1881,http://id.loc.gov/vocabulary/iso639-2/fre
http://data.bnf.fr/ark:/12148/cb11907966z#about,http://data.bnf.fr/ark:/12148/cb34549325z#Expression,Han d'Islande,"Neuilly-sur-Seine : Saint-Clair ; [Paris] : diffusion F. Beauval , 1975",Neuilly-sur-Seine. - [Paris],1975,http://id.loc.gov/vocabulary/iso639-2/fre
http://data.bnf.fr/ark:/12148/cb11907966z#about,http://data.bnf.fr/ark:/12148/cb346840686#Expression,Les Travailleurs de la mer,"Genève : Vernoy : Éditions Idégraf ; [Paris] : diffusion C.D.E. ; [La Seyne-sur-Mer] : diffusion ICED , 1979-1980",Genève. - [Paris]. - [La Seyne-sur-Mer],1979,http://id.loc.gov/vocabulary/iso639-2/fre
http://data.bnf.fr/ark:/12148/cb11907966z#about,http://data.bnf.fr/ark:/12148/cb34746272t#Expression,Les Misérables,"Paris : Éditions G. P. , 1981",Paris,1981,http://id.loc.gov/vocabulary/iso639-2/fre
http://data.bnf.fr/ark:/12148/cb11907966z#about,http://data.bnf.fr/ark:/12148/cb342169890#Expression,Paris,"Paris : Impr. de P. Mouillot , 1895",Paris,1895,http://id.loc.gov/vocabulary/iso639-2/fre
http://data.bnf.fr/ark:/12148/cb11907966z#about,http://data.bnf.fr/ark:/12148/cb35150961z#Expression,Les Misérables,"Paris : Bordas , 1969",Paris,1969,http://id.loc.gov/vocabulary/iso639-2/fre
http://data.bnf.fr/ark:/12148/cb11907966z#about,http://data.bnf.fr/ark:/12148/cb357492313#Expression,Hernani,"[Paris] : Gallimard , 1995",[Paris],1995,http://id.loc.gov/vocabulary/iso639-2/fre
http://data.bnf.fr/ark:/12148/cb11907966z#about,http://data.bnf.fr/ark:/12148/cb34628187g#Expression,Les Travailleurs de la mer,"Paris : Hachette , 1979",Paris,1979,http://id.loc.gov/vocabulary/iso639-2/fre
http://data.bnf.fr/ark:/12148/cb11907966z#about,http://data.bnf.fr/ark:/12148/cb35440111h#Expression,Notre-Dame de Paris,"[Paris] : Librairie générale française , 1973",[Paris],1973,http://id.loc.gov/vocabulary/iso639-2/fre
http://data.bnf.fr/ark:/12148/cb11907966z#about,http://data.bnf.fr/ark:/12148/cb35126632c#Expression,Œuvres complètes 37,"[Lausanne ; Paris] : Éditions Rencontre , [1968]",[Lausanne. - Paris],1968,
http://data.bnf.fr/ark:/12148/cb11907966z#about,http://data.bnf.fr/ark:/12148/cb351267210#Expression,Œuvres complètes 38,"[Lausanne ; Paris] : Éditions Rencontre , [1968]",[Lausanne. - Paris],1968,
http://data.bnf.fr/ark:/12148/cb11907966z#about,http://data.bnf.fr/ark:/12148/cb346366580#Expression,Notre-Dame de Paris,"[Paris] : Gallimard , 1978",[Paris],1978,http://id.loc.gov/vocabulary/iso639-2/fre
http://data.bnf.fr/ark:/12148/cb11907966z#about,http://data.bnf.fr/ark:/12148/cb33046332h#Expression,"The Seven wonders of the world, a translation of Victor Hugo's ""Les Sept merveilles du monde"", by A. G. H. Kreiss. A bilingual edition","New York : Exposition press , [cop. 1958]",New York,1958,
http://data.bnf.fr/ark:/12148/cb11907966z#about,http://data.bnf.fr/ark:/12148/cb346292541#Expression,Quatre-vingt-treize,"Toulouse : Éditions Transit , 1979",Toulouse,1979,http://id.loc.gov/vocabulary/iso639-2/fre
http://data.bnf.fr/ark:/12148/cb11907966z#about,http://data.bnf.fr/ark:/12148/cb35143576d#Expression,Ruy Blas,"Paris : Larousse , 1971",Paris,1971,http://id.loc.gov/vocabulary/iso639-2/fre
http://data.bnf.fr/ark:/12148/cb11907966z#about,http://data.bnf.fr/ark:/12148/cb34575331j#Expression,Quatrevingt-treize,"Lausanne : Compagnie du livre français , 1975",Lausanne,1975,http://id.loc.gov/vocabulary/iso639-2/fre
